Country,Age,Sex,Year,Life Expectancy
China (People’s Republic of),0 years,Total,2008,-5.1
China (People’s Republic of),0 years,Total,2008,5.1
China (People’s Republic of),0 years,Total,2009,75.3
China (People’s Republic of),0 years,Total,2009,-5.2
China (People’s Republic of),0 years,Total,2009,5.2
China (People’s Republic of),0 years,Total,2010,75.7
China (People’s Republic of),0 years,Total,2010,-5.1
China (People’s Republic of),0 years,Total,2010,5.1
China (People’s Republic of),0 years,Total,2011,75.9
China (People’s Republic of),0 years,Total,2011,-5.3
China (People’s Republic of),0 years,Total,2011,5.3
China (People’s Republic of),0 years,Total,2012,76.2
China (People’s Republic of),0 years,Total,2012,-5.4
China (People’s Republic of),0 years,Total,2012,5.4
China (People’s Republic of),0 years,Total,2013,76.5
China (People’s Republic of),0 years,Total,2013,-5.3
China (People’s Republic of),0 years,Total,2013,5.3
China (People’s Republic of),0 years,Total,2014,76.7
China (People’s Republic of),0 years,Total,2014,-5.4
China (People’s Republic of),0 years,Total,2014,5.4
China (People’s Republic of),0 years,Total,2015,77
China (People’s Republic of),0 years,Total,2015,-5.4
China (People’s Republic of),0 years,Total,2015,5.4
China (People’s Republic of),0 years,Total,2016,77.2
China (People’s Republic of),0 years,Total,2016,-5.5
China (People’s Republic of),0 years,Total,2016,5.5
China (People’s Republic of),0 years,Total,2017,77.2
China (People’s Republic of),0 years,Total,2017,-5.8
China (People’s Republic of),0 years,Total,2017,5.8
China (People’s Republic of),0 years,Total,2018,77.7
China (People’s Republic of),0 years,Total,2018,-5.5
China (People’s Republic of),0 years,Total,2018,5.5
China (People’s Republic of),0 years,Total,2019,77.9
China (People’s Republic of),0 years,Total,2019,-5.4
China (People’s Republic of),0 years,Total,2019,5.4
China (People’s Republic of),0 years,Total,2020,78
China (People’s Republic of),0 years,Total,2020,-5.8
China (People’s Republic of),0 years,Total,2020,5.8
China (People’s Republic of),0 years,Total,2021,78.1
China (People’s Republic of),0 years,Total,2021,-5.4
China (People’s Republic of),0 years,Total,2021,5.4
China (People’s Republic of),0 years,Total,2022,78.2
China (People’s Republic of),0 years,Total,2022,-5.7
China (People’s Republic of),0 years,Total,2022,5.7
China (People’s Republic of),0 years,Total,2023,78
China (People’s Republic of),0 years,Total,2023,-5.7
China (People’s Republic of),0 years,Total,2023,5.7
China (People’s Republic of),0 years,Total,2024,78
China (People’s Republic of),0 years,Total,2024,-5.7
China (People’s Republic of),0 years,Total,2024,5.7
Colombia,0 years,Total,2000,71
Colombia,0 years,Total,2000,-7.9
Colombia,0 years,Total,2000,7.9
Colombia,0 years,Total,2001,71.4
Colombia,0 years,Total,2001,-7.8
Colombia,0 years,Total,2001,7.8
Colombia,0 years,Total,2002,71.8
Colombia,0 years,Total,2002,-7.7
Colombia,0 years,Total,2002,7.7
Colombia,0 years,Total,2003,72.2
Colombia,0 years,Total,2003,-7.6
Colombia,0 years,Total,2003,7.6
Colombia,0 years,Total,2004,72.6
Colombia,0 years,Total,2004,-7.6
Colombia,0 years,Total,2004,7.6
Colombia,0 years,Total,2005,73
Colombia,0 years,Total,2005,-7.5
Colombia,0 years,Total,2005,7.5
Colombia,0 years,Total,2006,73.3
Colombia,0 years,Total,2006,-7.4
Colombia,0 years,Total,2006,7.4
Colombia,0 years,Total,2007,73.5
Colombia,0 years,Total,2007,-7.3
Colombia,0 years,Total,2007,7.3
Colombia,0 years,Total,2008,73.8
Colombia,0 years,Total,2008,-7.2
Colombia,0 years,Total,2008,7.2
Colombia,0 years,Total,2009,74
Colombia,0 years,Total,2009,-7.1
Colombia,0 years,Total,2009,7.1
Colombia,0 years,Total,2010,74.3
Colombia,0 years,Total,2010,-7
Colombia,0 years,Total,2010,7.1
