Country,Age,Sex,Year,Life Expectancy
Colombia,0 years,Female,2022,77.9
Colombia,0 years,Female,2023,78.9
Colombia,0 years,Female,2024,79.0
Colombia,0 years,Female,2025,79.2
Costa Rica,0 years,Female,2000,80.2
Costa Rica,0 years,Female,2001,80.4
Costa Rica,0 years,Female,2002,80.6
Costa Rica,0 years,Female,2003,80.8
Costa Rica,0 years,Female,2004,81.0
Costa Rica,0 years,Female,2005,81.2
Costa Rica,0 years,Female,2006,81.4
Costa Rica,0 years,Female,2007,81.6
Costa Rica,0 years,Female,2008,81.8
Costa Rica,0 years,Female,2009,82.0
Costa Rica,0 years,Female,2010,81.6
Costa Rica,0 years,Female,2011,81.6
Costa Rica,0 years,Female,2012,81.9
Costa Rica,0 years,Female,2013,82.1
Costa Rica,0 years,Female,2014,82.3
Costa Rica,0 years,Female,2015,82.4
Costa Rica,0 years,Female,2016,82.6
Costa Rica,0 years,Female,2017,82.7
Costa Rica,0 years,Female,2018,82.9
Costa Rica,0 years,Female,2019,83.0
Costa Rica,0 years,Female,2020,83.2
Costa Rica,0 years,Female,2021,83.3
Costa Rica,0 years,Female,2022,83.5
Costa Rica,0 years,Female,2023,83.6
Costa Rica,0 years,Female,2024,83.4
Costa Rica,0 years,Female,2025,83.5
Croatia,0 years,Female,2001,78.1
Croatia,0 years,Female,2002,78.3
Croatia,0 years,Female,2003,78.1
Croatia,0 years,Female,2004,78.8
Croatia,0 years,Female,2005,78.8
Croatia,0 years,Female,2006,79.3
Croatia,0 years,Female,2007,79.2
Croatia,0 years,Female,2008,79.7
Croatia,0 years,Female,2009,79.7
Croatia,0 years,Female,2010,79.9
Croatia,0 years,Female,2011,80.4
Croatia,0 years,Female,2012,80.6
Croatia,0 years,Female,2013,81.0
Croatia,0 years,Female,2014,80.8
Croatia,0 years,Female,2015,80.4
Croatia,0 years,Female,2016,81.1
Croatia,0 years,Female,2017,80.8
Croatia,0 years,Female,2018,81.2
Croatia,0 years,Female,2019,81.3
Croatia,0 years,Female,2020,80.7
Croatia,0 years,Female,2021,79.7
Croatia,0 years,Female,2022,80.8
Croatia,0 years,Female,2023,81.7
Croatia,0 years,Female,2024,81.8
Czechia,0 years,Female,2000,78.5
Czechia,0 years,Female,2001,78.5
Czechia,0 years,Female,2002,78.7
Czechia,0 years,Female,2003,78.6
Czechia,0 years,Female,2004,79.1
Czechia,0 years,Female,2005,79.2
Czechia,0 years,Female,2006,79.9
Czechia,0 years,Female,2007,80.2
Czechia,0 years,Female,2008,80.5
Czechia,0 years,Female,2009,80.5
Czechia,0 years,Female,2010,80.9
Czechia,0 years,Female,2011,81.1
Czechia,0 years,Female,2012,81.2
Czechia,0 years,Female,2013,81.3
Czechia,0 years,Female,2014,81.7
Czechia,0 years,Female,2015,81.5
Czechia,0 years,Female,2016,81.9
Czechia,0 years,Female,2017,81.9
Czechia,0 years,Female,2018,81.9
Czechia,0 years,Female,2019,82.1
Czechia,0 years,Female,2020,81.3
Czechia,0 years,Female,2021,80.5
Czechia,0 years,Female,2022,81.9
Czechia,0 years,Female,2023,82.7
Czechia,0 years,Female,2024,83.0
Denmark,0 years,Female,2000,79.2
Denmark,0 years,Female,2001,79.3
Denmark,0 years,Female,2002,79.4
Denmark,0 years,Female,2003,79.8
Denmark,0 years,Female,2004,80.2
Denmark,0 years,Female,2005,80.5
Denmark,0 years,Female,2006,80.7
Denmark,0 years,Female,2007,80.6
Denmark,0 years,Female,2008,81.0
Denmark,0 years,Female,2009,81.1
Denmark,0 years,Female,2010,81.4
Denmark,0 years,Female,2011,81.9
Denmark,0 years,Female,2012,82.1
Denmark,0 years,Female,2013,82.4
Denmark,0 years,Female,2014,82.7
Denmark,0 years,Female,2015,82.7
Denmark,0 years,Female,2016,82.8
Denmark,0 years,Female,2017,83.1
Denmark,0 years,Female,2018,82.9
Denmark,0 years,Female,2019,83.4
Denmark,0 years,Female,2020,83.5
Denmark,0 years,Female,2021,83.3
Denmark,0 years,Female,2022,83.2
Denmark,0 years,Female,2023,83.6
Denmark,0 years,Female,2024,83.9
Estonia,0 years,Female,2000,76.4
Estonia,0 years,Female,2001,76.5
Estonia,0 years,Female,2002,77.2
Estonia,0 years,Female,2003,77.2
Estonia,0 years,Female,2004,78.0
Estonia,0 years,Female,2005,78.2
Estonia,0 years,Female,2006,78.6
Estonia,0 years,Female,2007,78.9
Estonia,0 years,Female,2008,79.5
Estonia,0 years,Female,2009,80.3
Estonia,0 years,Female,2010,80.8
Estonia,0 years,Female,2011,81.3
Estonia,0 years,Female,2012,81.5
Estonia,0 years,Female,2013,81.7
Estonia,0 years,Female,2014,81.5
Estonia,0 years,Female,2015,81.8
Estonia,0 years,Female,2016,81.9
Estonia,0 years,Female,2017,82.3
Estonia,0 years,Female,2018,82.4
Estonia,0 years,Female,2019,82.8
Estonia,0 years,Female,2020,82.8
Estonia,0 years,Female,2021,81.4
Estonia,0 years,Female,2022,82.2
Estonia,0 years,Female,2023,83.0
Estonia,0 years,Female,2024,83.4
Finland,0 years,Female,2000,81.2
Finland,0 years,Female,2001,81.7
Finland,0 years,Female,2002,81.6
Finland,0 years,Female,2003,81.9
Finland,0 years,Female,2004,82.5
Finland,0 years,Female,2005,82.5
Finland,0 years,Female,2006,83.1
Finland,0 years,Female,2007,83.1
Finland,0 years,Female,2008,83.3
Finland,0 years,Female,2009,83.5
Finland,0 years,Female,2010,83.5
Finland,0 years,Female,2011,83.8
Finland,0 years,Female,2012,83.7
Finland,0 years,Female,2013,84.1
Finland,0 years,Female,2014,83.9
Finland,0 years,Female,2015,84.1
Finland,0 years,Female,2016,84.1
Finland,0 years,Female,2017,84.2
Finland,0 years,Female,2018,84.3
Finland,0 years,Female,2019,84.6
Finland,0 years,Female,2020,84.6
Finland,0 years,Female,2021,84.5
Finland,0 years,Female,2022,83.8
Finland,0 years,Female,2023,84.2
Finland,0 years,Female,2024,84.8
France,0 years,Female,2000,83.0
France,0 years,Female,2001,83.0
France,0 years,Female,2002,83.0
France,0 years,Female,2003,82.7
France,0 years,Female,2004,83.8
France,0 years,Female,2005,83.8
France,0 years,Female,2006,84.5
France,0 years,Female,2007,84.8
France,0 years,Female,2008,84.8
France,0 years,Female,2009,85.0
France,0 years,Female,2010,85.3
France,0 years,Female,2011,85.7
France,0 years,Female,2012,85.4
France,0 years,Female,2013,85.6
France,0 years,Female,2014,85.4
France,0 years,Female,2015,85.1
France,0 years,Female,2016,85.3
France,0 years,Female,2017,85.3
France,0 years,Female,2018,85.5
France,0 years,Female,2019,85.6
France,0 years,Female,2020,85.1
France,0 years,Female,2021,85.2
France,0 years,Female,2022,85.1
France,0 years,Female,2023,85.7
France,0 years,Female,2024,85.8
Germany,0 years,Female,2000,81.2
Germany,0 years,Female,2001,81.4
Germany,0 years,Female,2002,81.3
Germany,0 years,Female,2003,81.3
Germany,0 years,Female,2004,81.9
Germany,0 years,Female,2005,82.0
Germany,0 years,Female,2006,82.4
Germany,0 years,Female,2007,82.7
Germany,0 years,Female,2008,82.7
Germany,0 years,Female,2009,82.8
Germany,0 years,Female,2010,83.0
Germany,0 years,Female,2011,83.1
Germany,0 years,Female,2012,83.1
Germany,0 years,Female,2013,83.0
Germany,0 years,Female,2014,83.3
Germany,0 years,Female,2015,83.0
Germany,0 years,Female,2016,83.3
Germany,0 years,Female,2017,83.3
Germany,0 years,Female,2018,83.2
Germany,0 years,Female,2019,83.6
Germany,0 years,Female,2020,83.4
Germany,0 years,Female,2021,83.2
Germany,0 years,Female,2022,82.9
Germany,0 years,Female,2023,83.2
Germany,0 years,Female,2024,83.5
Greece,0 years,Female,2000,81.3
Greece,0 years,Female,2001,81.9
Greece,0 years,Female,2002,82.0
Greece,0 years,Female,2003,82.0
Greece,0 years,Female,2004,82.2
Greece,0 years,Female,2005,82.5
Greece,0 years,Female,2006,82.7
Greece,0 years,Female,2007,82.5
Greece,0 years,Female,2008,83.0
Greece,0 years,Female,2009,83.3
Greece,0 years,Female,2010,83.3
Greece,0 years,Female,2011,83.6
Greece,0 years,Female,2012,83.4
Greece,0 years,Female,2013,84.0
Greece,0 years,Female,2014,83.8
Greece,0 years,Female,2015,83.5
Greece,0 years,Female,2016,83.7
Greece,0 years,Female,2017,83.7
Greece,0 years,Female,2018,84.2
Greece,0 years,Female,2019,84.1
Greece,0 years,Female,2020,83.8
Greece,0 years,Female,2021,82.9
Greece,0 years,Female,2022,83.4
Greece,0 years,Female,2023,84.2
Greece,0 years,Female,2024,84.4
Hungary,0 years,Female,2000,76.2
Hungary,0 years,Female,2001,76.7
Hungary,0 years,Female,2002,76.7
Hungary,0 years,Female,2003,76.7
Hungary,0 years,Female,2004,77.2
Hungary,0 years,Female,2005,77.2
Hungary,0 years,Female,2006,77.8
Hungary,0 years,Female,2007,77.8
Hungary,0 years,Female,2008,78.3
Hungary,0 years,Female,2009,78.4
Hungary,0 years,Female,2010,78.6
Hungary,0 years,Female,2011,78.7
Hungary,0 years,Female,2012,78.7
Hungary,0 years,Female,2013,79.1
Hungary,0 years,Female,2014,79.2
Hungary,0 years,Female,2015,78.8
Hungary,0 years,Female,2016,79.4
Hungary,0 years,Female,2017,79.1
Hungary,0 years,Female,2018,79.4
Hungary,0 years,Female,2019,79.5
Hungary,0 years,Female,2020,78.8
Hungary,0 years,Female,2021,77.6
Hungary,0 years,Female,2022,79.2
Hungary,0 years,Female,2023,79.8
Hungary,0 years,Female,2024,79.9
Iceland,0 years,Female,2000,81.6
Iceland,0 years,Female,2001,83.2
Iceland,0 years,Female,2002,82.5
Iceland,0 years,Female,2003,82.5
Iceland,0 years,Female,2004,83.2
Iceland,0 years,Female,2005,83.5
Iceland,0 years,Female,2006,82.9
Iceland,0 years,Female,2007,83.4
Iceland,0 years,Female,2008,83.3
Iceland,0 years,Female,2009,83.8
Iceland,0 years,Female,2010,84.1
Iceland,0 years,Female,2011,84.1
Iceland,0 years,Female,2012,84.3
Iceland,0 years,Female,2013,83.7
Iceland,0 years,Female,2014,84.1
Iceland,0 years,Female,2015,83.6
Iceland,0 years,Female,2016,83.9
Iceland,0 years,Female,2017,84.1
Iceland,0 years,Female,2018,84.2
Iceland,0 years,Female,2019,84.6
Iceland,0 years,Female,2020,84.4
Iceland,0 years,Female,2021,84.5
Iceland,0 years,Female,2022,83.5
Iceland,0 years,Female,2023,84.1
Iceland,0 years,Female,2024,84.5
India,0 years,Female,2000,63.8
India,0 years,Female,2001,64.3
India,0 years,Female,2002,64.9
India,0 years,Female,2003,65.4
India,0 years,Female,2004,65.8
India,0 years,Female,2005,66.4
India,0 years,Female,2006,66.9
India,0 years,Female,2007,67.4
India,0 years,Female,2008,67.8
India,0 years,Female,2009,68.3
India,0 years,Female,2010,68.8
India,0 years,Female,2011,69.3
India,0 years,Female,2012,69.7
India,0 years,Female,2013,70.2
India,0 years,Female,2014,70.6
India,0 years,Female,2015,70.9
India,0 years,Female,2016,71.3
India,0 years,Female,2017,71.6
India,0 years,Female,2018,72.0
India,0 years,Female,2019,72.3
India,0 years,Female,2020,71.9
India,0 years,Female,2021,68.8
India,0 years,Female,2022,73.3
India,0 years,Female,2023,73.6
India,0 years,Female,2024,73.9
Indonesia,0 years,Female,2000,68.0
